check_id,command_or_item,working_directory,script_or_path_exists,status,expected_output_or_evidence,next_action
ENV_01,"python -m pip install "".[dev]""",paper-c-eesd-package/scaffold,TRUE,PASSED_2026_05_13,Non-editable install completed in .g4_clean_env and package imported successfully,Use non-editable install for reviewer runbook under Windows/NAS paths with non-ASCII characters.
ENV_02,"python -m pip install -e "".[dev]""",paper-c-eesd-package/scaffold,TRUE,FAILED_LOCAL_PATH_ENCODING_2026_05_13,Editable install generated a mojibake .pth path under current Chinese project path,Do not use editable install as default reviewer command; it may work after cloning to ASCII-only path.
TEST_01,python -m pytest,paper-c-eesd-package/scaffold,TRUE,PASSED_2026_05_13,17 tests passed in clean virtual environment,Archive test log in reviewer package.
GM_01,python tools\build_gm_manifest_and_spectral_shape.py,paper-c-eesd-package/scaffold,TRUE,NEEDS_FULL_REGEN_LOG,scaffold/data/ground_motions/_derived/gm_manifest.csv and spectral_shape_index.csv,Run and save log if full regeneration evidence is required.
GM_02,python tools\build_nf28_sorted_manifest.py,paper-c-eesd-package/scaffold,TRUE,NEEDS_FULL_REGEN_LOG,scaffold/data/ground_motions/_derived/nf28_sorted_manifest.csv,Run and save log if full regeneration evidence is required.
PILOT_01,python tools\run_formal_pilot_v1.py,paper-c-eesd-package/scaffold,TRUE,NEEDS_FULL_REGEN_LOG,scaffold/data/formal_pilot_v1/figures/formal_pilot_v1_summary.csv,Run and compare output timestamps/checksums.
EXPANDED_01,python tools\run_expanded_pilot_v2.py,paper-c-eesd-package/scaffold,TRUE,NEEDS_FULL_REGEN_LOG,scaffold/data/expanded_pilot_v2/figures/expanded_pilot_v2_summary.csv,Run and compare with manuscript Figure 6-7 sources.
SENS_01,python tools\run_sensitivity_v3.py,paper-c-eesd-package/scaffold,TRUE,NEEDS_FULL_REGEN_LOG,scaffold/data/sensitivity_v3/figures/sensitivity_v3_summary.csv,Run and compare with manuscript Figure 8 source.
THRESH_01,python tools\run_threshold_sensitivity_v4.py,paper-c-eesd-package/scaffold,TRUE,NEEDS_FULL_REGEN_LOG,scaffold/data/threshold_sensitivity_v4/figures/threshold_sensitivity_v4_summary.csv,Run and compare with manuscript Figures 9-10 sources.
R1_BOOT_01,python tools\run_resampling_r1.py,paper-c-eesd-package/scaffold,TRUE,PASSED_2026_05_13,Existing-record bootstrap generated r1_summary_table.csv and Figure 12; 1000 draws over completed Sensitivity v3 records,Use as screening evidence only; full repeated OpenSees subset sampling over broader pools remains open.
R34_SPLIT_01,python tools\run_protocol_split_r34.py,paper-c-eesd-package/scaffold,TRUE,PASSED_2026_05_13,Protocol split generated protocol_split_r34_summary.csv ledger decomposition and Figure 13; 900 new OpenSees runs plus v3 Level-0 filtering,Use to attribute FFext sign reversal to record-subset/count sensitivity with grid interaction; still not production-scale full-pool resampling.
LEDGER_01,python tools\make_protocol_effect_ledger.py,paper-c-eesd-package/scaffold,TRUE,NEEDS_FULL_REGEN_LOG,Protocol-effect ledger CSV files,Run and verify ledger rows used in Section 4 and Section 7.
FIG_01,python tools\make_manuscript_figures.py,paper-c-eesd-package/scaffold,TRUE,NEEDS_FULL_REGEN_LOG,scaffold/docs/manuscript_drafts/figures/,Run only after confirming generated figures do not overwrite intentionally curated artwork without review.
PKG_01,DATASETS_AND_LINKS.csv,paper-c-eesd-package,TRUE,PATH_AUDIT_PASSED,All listed local paths existed on 2026-05-13,Resolve redistribution status and final package include/exclude boundary.
DECL_01,G4_DECLARATIONS_GAP_TABLE.csv,paper-c-eesd-package,TRUE,AUTHOR_CONFIRMED,Author declaration facts and repository route were confirmed on 2026-05-13,Keep final live-rule check and sharing approval as separate G4 checks.
ROUTE_01,Public repository plus private reviewer archive,paper-c-eesd-package,TRUE,ROUTE_SELECTED,Author selected route C on 2026-05-13,Prepare both package forms locally; request explicit approval before public push or sharing-permission changes.
DECL_02,Author declarations inserted,scaffold/docs/manuscript_drafts,TRUE,AUTHOR_CONFIRMED,COI funding CRediT AI-use scope and HY2005 boundary decision confirmed on 2026-05-13,Final live rule check remains before submission.
PKG_02,Public reproducibility package,R:\NAS_DRIVE\IMUT\paper_c_R32_curated\public_repo\paper-c-ida-opensees-repro,TRUE,PASSED_2026_05_13_R34_REFRESH,R34 public package refreshed and public zip rebuilt at R:\NAS_DRIVE\IMUT\paper_c_R32_curated\paper-c-ida-opensees-repro-public.zip,Push when GitHub network/auth is available; check git log for latest local commit hash.
PKG_03,Private reviewer archive,R:\NAS_DRIVE\IMUT\paper_c_R32_curated\private_archive\paper-c-reviewer-package,TRUE,STAGED_LOCAL_2026_05_13,Private local archive staged for reviewer/package use,Do not share unless the target journal workflow requires it and author approves the exact upload.
POLICY_01,Final Engineering Structures live check,rounds/R32_submission_package_release_2026_05_13,TRUE,DONE_2026_05_13,Official live check recorded in official_live_check_final_2026_05_13.md,Redo if target journal changes or immediately before a later submission date.
PUSH_01,git push -u origin main,R:\NAS_DRIVE\IMUT\paper_c_R32_curated\public_repo\paper-c-ida-opensees-repro,TRUE,FAILED_NETWORK_2026_05_13_R34_RETRY,Non-interactive push failed after R34 refresh with Recv failure connection reset and then Empty reply from server; gh CLI is unavailable,Create/enable GitHub remote and push the latest local main commit when network/auth is available.
