effect_family,scenario,threshold_scale,reference_record_set,record_set,protocol,theta_ref,theta,theta_percent_shift_vs_ref,log_theta_shift_vs_ref,beta_pool_equiv_binary,beta,censoring_rate
record_pool_threshold_sensitivity,current_1p0,1.0,FF22,FF22,P1,0.2070450420911918,0.2070450420911918,0.0,0.0,0.0,0.7159959831398178,0.0
record_pool_threshold_sensitivity,current_1p0,1.0,FF22,FFext,P1,0.2070450420911918,0.2705804024393434,30.68673352736832,0.2676329262566819,0.13381646312834095,0.6320905328473214,0.0
record_pool_threshold_sensitivity,current_1p0,1.0,FF22,NF28,P1,0.2070450420911918,0.1325739126095046,-35.968564486990616,-0.4457960433270047,0.22289802166350234,0.4132719292363126,0.0
record_pool_threshold_sensitivity,relaxed_1p2,1.2,FF22,FF22,P1,0.2382709475073316,0.2382709475073316,0.0,0.0,0.0,0.7412680364054228,0.02
record_pool_threshold_sensitivity,relaxed_1p2,1.2,FF22,FFext,P1,0.2382709475073316,0.3316458365247604,39.188533052085845,0.3306591810196321,0.16532959050981605,0.6352107959091345,0.02
record_pool_threshold_sensitivity,relaxed_1p2,1.2,FF22,NF28,P1,0.2382709475073316,0.1526465988605734,-35.935706615731455,-0.4452830227561757,0.22264151137808785,0.4540585896833509,0.0
record_pool_threshold_sensitivity,strict_0p8,0.8,FF22,FF22,P1,0.1870815843336746,0.1870815843336746,0.0,0.0,0.0,0.6375384647012887,0.0
record_pool_threshold_sensitivity,strict_0p8,0.8,FF22,FFext,P1,0.1870815843336746,0.2328052751256487,24.440508644839305,0.2186575735035739,0.10932878675178695,0.613582931179426,0.0
record_pool_threshold_sensitivity,strict_0p8,0.8,FF22,NF28,P1,0.1870815843336746,0.123404778425055,-34.03691824367227,-0.4160749677943025,0.20803748389715124,0.3454861335100865,0.0
