group,theta,beta,mu,n_total,n_observed,n_censored,log_likelihood,scenario,threshold_scale,record_set,protocol,censoring_rate
ALL,0.2070450420911918,0.7159959831398178,-1.5748189147436098,50,50,0,-54.24289114717702,current_1p0,1.0,FF22,P1,0.0
ALL,0.2705804024393434,0.6320905328473214,-1.307185988486928,50,50,0,-48.01079457789336,current_1p0,1.0,FFext,P1,0.0
ALL,0.1325739126095046,0.4132719292363126,-2.020614958070615,50,50,0,-26.76445328499401,current_1p0,1.0,NF28,P1,0.0
ALL,0.2382709475073316,0.7412680364054228,-1.4343468179315264,50,49,1,-56.32118766921046,relaxed_1p2,1.2,FF22,P1,0.02
ALL,0.3316458365247604,0.6352107959091345,-1.1036876369118944,50,49,1,-48.70920344894134,relaxed_1p2,1.2,FFext,P1,0.02
ALL,0.1526465988605734,0.4540585896833509,-1.879629840687702,50,50,0,-31.47047500528061,relaxed_1p2,1.2,NF28,P1,0.0
ALL,0.1870815843336746,0.6375384647012887,-1.6762104774107145,50,50,0,-48.43989354743509,strict_0p8,0.8,FF22,P1,0.0
ALL,0.2328052751256487,0.613582931179426,-1.45755290390714,50,50,0,-46.52493422043952,strict_0p8,0.8,FFext,P1,0.0
ALL,0.123404778425055,0.3454861335100865,-2.0922854452050164,50,50,0,-17.806788351756364,strict_0p8,0.8,NF28,P1,0.0
